L,g,E_exact,E_vmc_real,Var_E,Mean_Two_Point_Correlation,Var_Two_Point_Correlation,Exact_Two_Point_Correlation,Exact_Two_Point_Correlation_Variance,rel_error
12,0.38,-12.43726076624316,-12.437286854614612,1.8284768342521763e-06,0.9616544596354166,0.013293888197342556,0.9617595635075161,0.013256282082047951,2.0975978507476375e-06
12,0.36,-12.392057586172616,-12.392069310197185,2.7772157498916908e-06,0.9659659830729167,0.011764048973057007,0.9658931858867472,0.011771858096336432,9.46091840472941e-07
12,0.34,-12.349381891073469,-12.349403620235863,3.530628579904789e-06,0.9698323567708335,0.010399049586719937,0.9697546515764727,0.010397014285587739,1.7595344112275934e-06
12,0.32,-12.309218717059283,-12.309226832363056,1.94156560025045e-06,0.9733675130208334,0.009150194144248964,0.973353421763698,0.009125768943074498,6.592866663206672e-07
12,0.3,-12.271554264799724,-12.271579776758154,4.7327186562299546e-06,0.9769059244791666,0.007883547356393602,0.9766979548908258,0.00795287371102423,2.0789508712386423e-06
12,0.28,-12.236375825868599,-12.236360575137514,8.455621465477345e-07,0.9800325520833333,0.00680019425286187,0.9797958282695461,0.006873703694254256,1.2463437951016825e-06
12,0.26,-12.20367172153183,-12.203648123592973,3.4114806360993933e-06,0.9828857421875,0.00580519245730506,0.9826538355532826,0.005884171376260146,1.9336753228683437e-06
12,0.24,-12.17343125136946,-12.173432048553877,1.5553540308751787e-06,0.9855436197916667,0.00490386029349433,0.9852780655486191,0.004980658767935371,6.54855974106352e-08
12,0.22,-12.145644649728867,-12.14566261806647,2.779647915432718e-06,0.9877604166666667,0.004156833224826389,0.9876739665719759,0.004159963466136081,1.4794058382065528e-06
12,0.2,-12.120303048491566,-12.120305379317504,5.321884439812624e-07,0.9898763020833333,0.0034191036224365226,0.9898463995354635,0.003419255328806159,1.9230756262988105e-07
12,0.18,-12.097398445019211,-12.097430098465283,5.810238132510336e-07,0.9917431640625001,0.0027855572991900973,0.9917996821416083,0.0027560413006073345,2.616549848805513e-06
12,0.16,-12.076923674443211,-12.07689965609432,4.09402399997905e-06,0.9934537760416666,0.0021956452157762315,0.9935376259463161,0.0021681365714252524,1.9887803831047005e-06
12,0.14,-12.058872385684948,-12.058894218961287,3.5285000935671e-07,0.9950439453125001,0.001661092903878954,0.9950635675798395,0.0016536407462229225,1.8105570438564018e-06
12,0.12,-12.043239020762389,-12.043221273706731,5.316908717111969e-06,0.9964078776041667,0.0012012893650266863,0.996380395066997,0.0012109180749432606,1.4736115115991148e-06
12,0.1,-12.03001879705917,-12.030034730562875,3.6600682546083655e-06,0.9973697916666667,0.0008812113444010418,0.9974905699333773,0.0008385810612106957,1.3244787038808286e-06
12,0.08,-12.019207692318831,-12.019216476658112,9.888928578666944e-08,0.9983040364583333,0.000566785165998671,0.9983961456005971,0.000535476962160312,7.308584314154859e-07
12,0.06,-12.010802432190085,-12.010804892039392,1.72767547448178e-07,0.9990421549479166,0.0003210768904950885,0.9990987824421674,0.0003006768280398278,2.048030779995388e-07
12,0.04,-12.004800480192113,-12.004783909012504,1.999363670662658e-06,0.9995857747395833,0.00013898857368363274,0.9995997597757533,0.000133466826882077,1.3803794270718614e-06
12,0.02,-12.001200030003002,-12.001191072601175,1.6680517303645676e-07,0.9999031575520833,3.227143751250372e-05,0.9998999849965001,3.334166916542832e-05,7.463755127903145e-07
12,0.0,-12.000000000000005,-12.0,0.0,0.9999682617187501,1.0578419764836632e-05,1.000000000000001,-9.86864910777917e-16,4.440892098500624e-16
12,1.05,-15.719528541526987,-15.719716906482427,5.781321248361521e-05,0.37318359375000004,0.2701187709808349,0.3728484928791354,0.26970798918092165,1.1982862904705543e-05
12,1.048,-15.703136719246633,-15.703179774077551,5.8124996180504204e-05,0.3761751302083334,0.2697352184613546,0.37622657961960493,0.26914356250577387,2.741798131674869e-06
12,1.046,-15.686786177650989,-15.686911697450503,6.451713508720593e-05,0.37951009114583334,0.2688274509615368,0.3796206885377644,0.26855818414526644,8.00162621538626e-06
12,1.044,-15.670477140616631,-15.670465880795645,5.833255911525821e-05,0.3846028645833333,0.26791993776957196,0.3830304191430624,0.26795172444780996,7.185372140025133e-07
12,1.042,-15.654209829582877,-15.654239211286622,5.5616883245837245e-05,0.3887158203125,0.2666566299623913,0.38645535916961166,0.26732406529793906,1.8769202703564198e-06
12,1.038,-15.621801258388233,-15.621739594801781,6.570007573144894e-05,0.3925349934895834,0.2664292454659939,0.3933491603766764,0.2660047361796931,3.947277617489084e-06
12,1.036,-15.60566042787081,-15.605642285658455,7.231944227770393e-05,0.3961466471354167,0.26581604359878436,0.3968171394593106,0.2653128911051449,1.1625405049972575e-06
12,1.034,-15.589562182408308,-15.589577647730287,5.867483831618493e-05,0.400546875,0.26447431030273433,0.40029856413110315,0.2645994970882229,9.920305521435622e-07
12,1.032,-15.573506729507907,-15.573365910165126,7.585767406980312e-05,0.40395833333333336,0.2639541666666667,0.4037929656515338,0.2638644993029029,9.042237257553618e-06
12,1.03,-15.557494273542838,-15.557375244952635,7.036362398520517e-05,0.40837972005208334,0.26291160537865427,0.4072998645968773,0.2631078566167528,7.650884397634709e-06
12,1.028,-15.541525015637893,-15.541631993289077,6.715846774688941e-05,0.4120027669270834,0.2621365867978997,0.41081877110827364,0.26232954190186564,6.883343241804467e-06
12,1.026,-15.525599153556103,-15.525545329126427,5.8142796091709115e-05,0.4160791015625,0.2612526387082206,0.41434918515874664,0.26152954232870124,3.4668181977127255e-06
12,1.024,-15.509716881585623,-15.50973424488306,6.561629452555843e-05,0.41943684895833333,0.2603140491803487,0.4178905968389042,0.26070785964170656,1.1195109213699043e-06
12,1.022,-15.493878390428673,-15.494067482069863,7.917477335364842e-05,0.42305419921875,0.25906903558240996,0.4214424866613777,0.2598645104155373,1.2204280711686213e-05
12,1.018,-15.462333494775136,-15.462436647009717,7.200254705449245e-05,0.42845703125,0.2576686044904921,0.42857557684871184,0.2581129541883361,6.671194526778751e-06
12,1.016,-15.446627452770183,-15.446441455427616,8.711218694784649e-05,0.4316585286458334,0.2574122340917588,0.432155693344546,0.2572048565005976,1.2041291416942192e-05
12,1.014,-15.430965916350681,-15.430929665090954,7.866005249575824e-05,0.43855957031250004,0.2552886586692598,0.4357441209796406,0.2562753112599062,2.3492540858366812e-06
12,1.012,-15.415349056671836,-15.415384837642138,7.582186504011702e-05,0.4407275390625,0.2547419837077459,0.4393402975765794,0.2553244122818553,2.3211261821364045e-06
12,1.01,-15.399777040669468,-15.39988096570989,8.156871478685842e-05,0.44318359375,0.25466740379333497,0.4429436535816746,0.25435226928348964,6.748476951826567e-06
12,1.008,-15.384250030962104,-15.384075088006444,8.262717567725518e-05,0.4464217122395833,0.25390779590010637,0.4465536124906951,0.2533590079752375,1.1371562169594637e-05
12,1.006,-15.368768185755503,-15.368963748512412,8.296431108109646e-05,0.4508365885416667,0.2521473035918342,0.45016959128985484,0.2523447701259477,1.272468649052152e-05
